"";"country";"date";"EthAl";"scode";"sname";"UN";"cow"
"1";"Afghanistan";"1995";".7693445845406846";700;"Afghanistan";4;700
"2";"Albania";"1989";".220426";339;"Albania";8;339
"3";"Algeria";"1992";".3393999999999998";615;"Algeria";12;615
"4";"American Samoa";".";".";.;"American Samoa";16;.
"5";"Andorra";"1997";".713946";232;"Andorra";20;232
"6";"Angola";"1983";".78672";540;"Angola";24;540
"7";"Antigua and Barbuda";"1994";".1642560000000001";58;"Antigua and Barbuda";28;58
"8";"Argentina";"1986";".255";160;"Argentina";32;160
"9";"Armenia";"1989";".1271540000000001";371;"Armenia";51;371
"10";"Aruba";".";".";.;"Aruba";533;.
"11";"Australia";"1986";".0929019999999999";900;"Australia";36;900
"12";"Austria";"1998";".1067761823104126";305;"Austria";40;305
"13";"Azerbaijan";"1995";".204672";373;"Azerbaijan";31;373
"14";"Bahamas";"1989";".422845142439737";31;"Bahamas";44;31
"15";"Bahrain";"1991";".5021300000000001";692;"Bahrain";48;692
"16";"Bangladesh";"1997";".045434";771;"Bangladesh";50;771
"17";"Barbados";"1990";".1423419999999999";53;"Barbados";52;53
"18";"Belarus";"2001";".3221839999999999";370;"Belarus";112;370
"19";"Belgium";"2001";".5554";211;"Belgium";56;211
"20";"Belize";"1991";".7015400000000001";80;"Belize";84;80
"21";"Benin";"1992";".787216";434;"Benin";204;434
"22";"Bermuda";".";".";.;"Bermuda";60;.
"23";"Bhutan";"1993";".605";760;"Bhutan";64;760
"24";"Bolivia";"1998";".7396250600865246";145;"Bolivia";68;145
"25";"Bosnia and Herzegovina";"1991";".630038";346;"Bosnia and Herzegovina";70;346
"26";"Botswana";"1983";".4102480000000001";571;"Botswana";72;571
"27";"Brazil";"1995";".540836";140;"Brazil";76;140
"28";"Brunei";"1995";".5416";835;"Brunei";96;835
"29";"Bulgaria";"1992";".4021141144140575";355;"Bulgaria";100;355
"30";"Burkina Faso";"1983";".737738";439;"Burkina Faso";854;439
"31";"Burundi";"1983";".2951440000000001";516;"Burundi";108;516
"32";"Cambodia";"1994";".2104640000000001";811;"Cambodia";116;811
"33";"Cameroon";"1983";".86349";471;"Cameroon";120;471
"34";"Canada";"1991";".7124200000000001";20;"Canada";124;20
"35";"Cape Verde";"1986";".4174";402;"Cape Verde";132;402
