"";"UN";"year";"month";"elec_id";"country.x";"date.x";"presidential";"legislative_type";"elecrule";"tier1_formula";"tier2_formula";"tier3_formula";"tier4_formula";"mixed_type";"multi";"multi_linked";"seats";"tier1_avemag";"tier1_districts";"upperseats";"uppertier";"tier2_districts";"tier3_districts";"tier4_districts";"enep";"enep_others";"enep1";"enpp";"enpp_others";"enpp1";"enpres";"preselecrule";"region1";"region2";"region3";"aclp_code";"ccode";"ccode2";"day";"regime";"secondround";"thirdround";"X1.x";"varmag";"sdmag";"memag";"country.y";"X1.y";"country";"date.y";"EthAl";"scode";"sname";"cow"
"1";8;2001;"6";"L-ALB-2001-6-24";"Albania";"24-Jun-01";0;3;11;4;13;NA;NA;4;1;1;140;1;100;40;28,57;1;0;0;3,09;9,8;3,129792891;2,6;2;2,6;NA;NA;9;9;4;143;339;339;"24";0;"8-Jul-01";NA;911;0;0;1;"Albania";2;"Albania";"1989";".220426";"339";"Albania";"339"
"2";8;2005;"7";"L-ALB-2005-7-3";"Albania";"3-Jul-05";0;3;11;1;13;NA;NA;4;1;1;140;1;100;40;28,57;1;0;0;10,46;9,6;11,5060119;3,75;0,714285714;3,750358806;NA;NA;9;9;4;143;339;339;"3";0;NA;NA;1034;0;0;1;"Albania";2;"Albania";"1989";".220426";"339";"Albania";"339"
"3";8;2009;"6";"L-ALB-2009-6-28";"Albania";"28-Jun-09";0;2;9;25;NA;NA;NA;NA;0;0;140;11,67;12;0;0;0;0;0;3,18;9,9;3,27698443;2,6;0;2,6;NA;NA;9;9;4;143;339;339;"28";0;NA;NA;1181;NA;NA;NA;"Albania";2;"Albania";"1989";".220426";"339";"Albania";"339"
"4";20;2005;"4";"L-AND-2005-4-24";"Andorra";"24-Apr-05";0;3;12;9;13;NA;NA;2;1;0;28;2;7;14;50;1;0;0;2,77;0;2,77;2,28;0;2,28;NA;NA;10;10;3;195;232;232;"24";0;NA;NA;1010;18;4,24264068711928;3,5;"Andorra";5;"Andorra";"1997";".713946";"232";"Andorra";"232"
"5";20;2009;"4";"L-AND-2009-4-26";"Andorra";"26-Apr-09";0;3;12;9;13;NA;NA;2;1;0;28;2;7;14;50;1;0;0;2,94;0;2,94;2,4;0;2,4;NA;NA;10;10;3;195;232;232;"26";0;NA;NA;1149;18;4,24264068711928;3,5;"Andorra";5;"Andorra";"1997";".713946";"232";"Andorra";"232"
"6";20;2001;"3";"L-AND-2001-3-4";"Andorra";"4-Mar-01";0;3;12;9;13;NA;NA;2;1;0;28;2;7;14;50;1;0;0;3,28;0;3,28;2,7;0;2,7;NA;NA;10;10;3;195;232;232;"4";0;NA;NA;891;18;4,24264068711928;3,5;"Andorra";5;"Andorra";"1997";".713946";"232";"Andorra";"232"
"7";20;2015;"3";"L-AND-2015-3-1";"Andorra";"1-Mar-15";0;3;12;9;13;NA;NA;2;1;0;28;2;7;14;50;1;0;0;3,539284;0;3,539284;2,596026;0;2,596026;NA;NA;10;10;3;195;232;232;"1";0;NA;NA;1370;18;4,24264068711928;3,5;"Andorra";5;"Andorra";"1997";".713946";"232";"Andorra";"232"
"8";20;1997;"2";"L-AND-1997-2-16";"Andorra";"16-Feb-97";0;3;12;9;13;NA;NA;2;1;0;28;2;7;14;50;1;0;0;2,6;8;2,62;2,58;0;2,58;NA;NA;10;10;3;195;232;232;"16";0;NA;NA;781;18;4,24264068711928;3,5;"Andorra";5;"Andorra";"1997";".713946";"232";"Andorra";"232"
"9";20;2011;"4";"L-AND-2011-4-3";"Andorra";"3-Apr-11";0;3;12;9;13;NA;NA;2;1;0;28;2;7;14;50;1;0;0;2,32;0;2,32;1,78;0;1,78;NA;NA;10;10;3;195;232;232;"3";0;NA;NA;1220;18;4,24264068711928;3,5;"Andorra";5;"Andorra";"1997";".713946";"232";"Andorra";"232"
"10";28;1999;"3";"L-AAB-1999-3-9";"Antigua & Barbuda";"9-Mar-99";0;1;1;1;NA;NA;NA;NA;0;0;17;1;17;0;0;0;0;0;2,09;1,4;2,095;1,8;0;1,8;NA;NA;8;8;7;144;58;58;"9";0;NA;NA;835;0;0;1;"Antigua and Barbuda";7;"Antigua and Barbuda";"1994";".1642560000000001";"58";"Antigua and Barbuda";"58"
