"";"clea.yr";"varmag";"sdmag";"memag";"UN";"country"
"1";1946;NA;NA;NA;234;"Faroe Islands"
"2";1946;NA;NA;NA;300;"Greece"
"3";1946;1,81349206349206;1,34665959451231;1,46428571428571;352;"Iceland"
"4";1946;0;0;1;36;"Australia"
"5";1946;NA;NA;NA;380;"Italy"
"6";1946;NA;NA;NA;528;"Netherlands"
"7";1946;0;0;1;554;"New Zealand"
"8";1946;NA;NA;NA;56;"Belgium"
"9";1946;0;0;1;608;"Philippines"
"10";1946;NA;NA;NA;840;"US"
"11";1947;0;0;1;144;"Sri Lanka"
"12";1947;NA;NA;NA;208;"Denmark"
"13";1947;0,672119068670793;0,819828682512873;3,98290598290598;392;"Japan"
"14";1947;0;0;5;470;"Malta"
"15";1947;NA;NA;NA;756;"Switzerland"
"16";1947;NA;NA;NA;76;"Brazil"
"17";1948;NA;NA;NA;246;"Finland"
"18";1948;NA;NA;NA;372;"Ireland"
"19";1948;NA;NA;NA;380;"Italy"
"20";1948;0;0;1;410;"Korea"
"21";1948;98;9,89949493661167;13;442;"Luxembourg"
"22";1948;NA;NA;NA;528;"Netherlands"
"23";1948;NA;NA;NA;752;"Sweden"
"24";1948;NA;NA;NA;840;"US"
"25";1949;0,00766260766260766;0,0875363219618443;1,00769230769231;124;"Canada"
"26";1949;0;0;1;276;"Germany"
"27";1949;1,81349206349206;1,34665959451231;1,46428571428571;352;"Iceland"
"28";1949;0;0;1;36;"Australia"
"29";1949;NA;NA;120;376;"Israel"
"30";1949;0;0;1;388;"Jamaica"
"31";1949;0,672119068670793;0,819828682512873;3,98290598290598;392;"Japan"
"32";1949;NA;NA;NA;40;"Austria"
"33";1949;NA;NA;NA;438;"Liechtenstein"
"34";1949;0;0;1;554;"New Zealand"
"35";1949;NA;NA;NA;56;"Belgium"
"36";1949;NA;NA;NA;578;"Norway"
"37";1949;0;0;1;608;"Philippines"
"38";1950;NA;NA;NA;208;"Denmark"
"39";1950;NA;NA;NA;234;"Faroe Islands"
"40";1950;0;0;1;410;"Korea"
"41";1950;0;0;5;470;"Malta"
"42";1950;NA;NA;NA;56;"Belgium"
"43";1950;NA;NA;NA;76;"Brazil"
"44";1950;NA;NA;NA;792;"Turkey"
"45";1950;0;0;1;826;"UK"
"46";1950;NA;NA;NA;840;"US"
"47";1951;NA;NA;NA;246;"Finland"
"48";1951;0;0;1;28;"Antigua and Barbuda"
"49";1951;NA;NA;NA;300;"Greece"
"50";1951;0;0;1;308;"Grenada"
"51";1951;0;0;1;36;"Australia"
"52";1951;NA;NA;NA;372;"Ireland"
"53";1951;NA;NA;120;376;"Israel"
"54";1951;18;4,24264068711928;13;442;"Luxembourg"
"55";1951;0;0;5;470;"Malta"
"56";1951;0;0;1;554;"New Zealand"
"57";1951;0;0;1;662;"Saint Lucia"
"58";1951;0;0;1;670;"St. Vincent and the Grenadines"
"59";1951;NA;NA;NA;756;"Switzerland"
"60";1951;0;0;1;826;"UK"
"61";1952;0;0;1;144;"Sri Lanka"
"62";1952;NA;NA;NA;300;"Greece"
"63";1952;0,672119068670793;0,819828682512873;3,98290598290598;392;"Japan"
"64";1952;NA;NA;NA;528;"Netherlands"
"65";1952;0;0;1;659;"Saint Kitts and Nevis"
"66";1952;NA;NA;NA;752;"Sweden"
"67";1952;NA;NA;NA;840;"US"
"68";1953;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"69";1953;NA;NA;NA;188;"Costa Rica"
"70";1953;NA;NA;NA;208;"Denmark"
"71";1953;0;0;1;276;"Germany"
"72";1953;NA;NA;NA;328;"Guyana"
"73";1953;1,81349206349206;1,34665959451231;1,46428571428571;352;"Iceland"
"74";1953;NA;NA;NA;380;"Italy"
"75";1953;0,672119068670793;0,819828682512873;3,98290598290598;392;"Japan"
"76";1953;NA;NA;NA;40;"Austria"
"77";1953;NA;NA;NA;438;"Liechtenstein"
"78";1953;0;0;5;470;"Malta"
"79";1953;NA;NA;NA;578;"Norway"
"80";1953;0;0;1;608;"Philippines"
"81";1954;NA;NA;NA;234;"Faroe Islands"
"82";1954;NA;NA;NA;246;"Finland"
"83";1954;0;0;1;308;"Grenada"
"84";1954;0;0;1;36;"Australia"
"85";1954;NA;NA;NA;372;"Ireland"
"86";1954;0;0;1;410;"Korea"
"87";1954;38,6666666666667;6,21825270205921;13;442;"Luxembourg"
"88";1954;0;0;1;554;"New Zealand"
"89";1954;NA;NA;NA;56;"Belgium"
"90";1954;0;0;1;662;"Saint Lucia"
"91";1954;0;0;1;670;"St. Vincent and the Grenadines"
"92";1954;NA;NA;NA;76;"Brazil"
"93";1954;NA;NA;NA;792;"Turkey"
"94";1954;0;0;1;84;"Belize"
"95";1954;NA;NA;NA;840;"US"
"96";1954;NA;NA;NA;858;"Uruguay"
"97";1955;0;0;1;36;"Australia"
"98";1955;NA;NA;120;376;"Israel"
"99";1955;0;0;1;388;"Jamaica"
"100";1955;0,741778936694191;0,861265891983533;3,95762711864407;392;"Japan"
"101";1955;0;0;5;470;"Malta"
"102";1955;NA;NA;NA;756;"Switzerland"
"103";1955;0;0;1;826;"UK"
"104";1956;0;0;1;144;"Sri Lanka"
"105";1956;0;0;1;28;"Antigua and Barbuda"
"106";1956;NA;NA;NA;300;"Greece"
"107";1956;1,81349206349206;1,34665959451231;1,46428571428571;352;"Iceland"
"108";1956;NA;NA;NA;40;"Austria"
"109";1956;NA;NA;NA;528;"Netherlands"
"110";1956;NA;NA;NA;752;"Sweden"
"111";1956;NA;NA;NA;840;"US"
"112";1957;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"113";1957;NA;NA;NA;208;"Denmark"
"114";1957;0;0;1;276;"Germany"
"115";1957;0;0;1;308;"Grenada"
"116";1957;NA;NA;NA;328;"Guyana"
"117";1957;NA;NA;NA;372;"Ireland"
"118";1957;NA;NA;NA;438;"Liechtenstein"
"119";1957;0;0;1;554;"New Zealand"
"120";1957;NA;NA;NA;578;"Norway"
"121";1957;0;0;1;608;"Philippines"
"122";1957;0;0;1;659;"Saint Kitts and Nevis"
"123";1957;0;0;1;662;"Saint Lucia"
"124";1957;0;0;1;670;"St. Vincent and the Grenadines"
"125";1957;NA;NA;NA;792;"Turkey"
"126";1957;0;0;1;84;"Belize"
"127";1958;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"128";1958;NA;NA;NA;188;"Costa Rica"
"129";1958;NA;NA;NA;234;"Faroe Islands"
"130";1958;NA;NA;NA;246;"Finland"
"131";1958;NA;NA;NA;300;"Greece"
"132";1958;0;0;1;36;"Australia"
"133";1958;NA;NA;NA;380;"Italy"
"134";1958;0,741778936694191;0,861265891983533;3,95762711864407;392;"Japan"
"135";1958;0;0;1;410;"Korea"
"136";1958;NA;NA;NA;438;"Liechtenstein"
"137";1958;NA;NA;NA;56;"Belgium"
"138";1958;NA;NA;NA;752;"Sweden"
"139";1958;NA;NA;NA;76;"Brazil"
"140";1958;NA;NA;NA;840;"US"
"141";1958;NA;NA;NA;858;"Uruguay"
"142";1959;1,81349206349206;1,34665959451231;1,46428571428571;352;"Iceland"
"143";1959;NA;NA;120;376;"Israel"
"144";1959;0;0;1;388;"Jamaica"
"145";1959;NA;NA;NA;40;"Austria"
"146";1959;38,6666666666667;6,21825270205921;13;442;"Luxembourg"
"147";1959;0;0;1;458;"Malaysia"
"148";1959;NA;NA;NA;528;"Netherlands"
"149";1959;NA;NA;NA;756;"Switzerland"
"150";1959;0;0;1;826;"UK"
"151";1959;NA;NA;NA;840;"US"
"152";1960;0;0;1;144;"Sri Lanka"
"153";1960;NA;NA;NA;208;"Denmark"
"154";1960;0;0;1;28;"Antigua and Barbuda"
"155";1960;0,741778936694191;0,861265891983533;3,95762711864407;392;"Japan"
"156";1960;0;0;1;410;"Korea"
"157";1960;0;0;1;554;"New Zealand"
"158";1960;NA;NA;NA;752;"Sweden"
"159";1960;NA;NA;NA;840;"US"
"160";1961;0;0;1;276;"Germany"
"161";1961;NA;NA;NA;300;"Greece"
"162";1961;0;0;1;308;"Grenada"
"163";1961;NA;NA;NA;328;"Guyana"
"164";1961;0;0;1;36;"Australia"
"165";1961;NA;NA;NA;372;"Ireland"
"166";1961;NA;NA;120;376;"Israel"
"167";1961;0;0;1;404;"Kenya"
"168";1961;NA;NA;NA;56;"Belgium"
"169";1961;NA;NA;NA;578;"Norway"
"170";1961;0;0;1;608;"Philippines"
"171";1961;0;0;1;659;"Saint Kitts and Nevis"
"172";1961;0;0;1;662;"Saint Lucia"
"173";1961;0;0;1;670;"St. Vincent and the Grenadines"
"174";1961;NA;NA;NA;792;"Turkey"
"175";1961;0;0;1;84;"Belize"
"176";1962;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"177";1962;NA;NA;NA;188;"Costa Rica"
"178";1962;NA;NA;NA;214;"Dominican Republic"
"179";1962;NA;NA;NA;234;"Faroe Islands"
"180";1962;NA;NA;NA;246;"Finland"
"181";1962;0;0;1;308;"Grenada"
"182";1962;0;0;1;356;"India"
"183";1962;0;0;1;388;"Jamaica"
"184";1962;NA;NA;NA;40;"Austria"
"185";1962;NA;NA;NA;438;"Liechtenstein"
"186";1962;0;0;5;470;"Malta"
"187";1962;NA;NA;NA;76;"Brazil"
"188";1962;NA;NA;NA;840;"US"
"189";1962;NA;NA;NA;858;"Uruguay"
"190";1963;0,00757553768902563;0,0870375648155762;1,00760456273764;124;"Canada"
"191";1963;NA;NA;NA;300;"Greece"
"192";1963;NA;NA;NA;352;"Iceland"
"193";1963;0;0;1;36;"Australia"
"194";1963;NA;NA;NA;380;"Italy"
"195";1963;0,741778936694191;0,861265891983533;3,95762711864407;392;"Japan"
"196";1963;0;0;1;404;"Kenya"
"197";1963;0;0;1;410;"Korea"
"198";1963;0;0;5;414;"Kuwait"
"199";1963;NA;NA;NA;528;"Netherlands"
"200";1963;0;0;1;554;"New Zealand"
"201";1963;0;0;2;60;"Bermuda"
"202";1963;19,9710144927536;4,46889410176093;5,83333333333333;604;"Peru"
"203";1963;0;0;1;702;"Singapore"
"204";1963;NA;NA;NA;756;"Switzerland"
"205";1964;NA;NA;NA;208;"Denmark"
"206";1964;NA;NA;NA;300;"Greece"
"207";1964;62;7,87400787401181;14;442;"Luxembourg"
"208";1964;0;0;1;458;"Malaysia"
"209";1964;0;0;1;662;"Saint Lucia"
"210";1964;NA;NA;NA;752;"Sweden"
